Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"Trace2A.trc", 1024, 16, RND, 2, 65536, 13, 15, 32768, 114688, 1163264, 282176, 275222, 6954, 6543, 411, 97.5, 2.5, 4.1
"Trace2A.trc", 1024, 64, RR, 2, 16384, 13, 13, 8192, 28672, 1077248, 264662, 262181, 2481, 2313, 168, 99.1, 0.9, 4.0
"Trace2A.trc", 1024, 64, RND, 2, 16384, 13, 13, 8192, 28672, 1077248, 264662, 262104, 2558, 2261, 297, 99.0, 1.0, 4.0
"A-9_new 1.5.pdf.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 482890, 394464, 88426, 2048, 86345, 81.7, 18.3, 5.2
"A-9_new 1.5.pdf.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 482890, 394012, 88878, 2048, 86797, 81.6, 18.4, 5.2
"A-9_new 1.5.pdf.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 387868, 351794, 36074, 512, 35562, 90.7, 9.3, 4.4
"A-9_new 1.5.pdf.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 387868, 351470, 36398, 512, 35886, 90.6, 9.4, 4.4
"A-9_new 1.5.pdf.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 366348, 343629, 22719, 128, 22591, 93.8, 6.2, 4.2
"A-9_new 1.5.pdf.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 366348, 343160, 23188, 128, 23060, 93.7, 6.3, 4.2
"A-9_new 1.5.pdf.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 482890, 438158, 44732, 15923, 28776, 90.7, 9.3, 4.8
"A-9_new 1.5.pdf.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 482890, 435616, 47274, 15156, 32085, 90.2, 9.8, 4.9
"A-9_new 1.5.pdf.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 387868, 372353, 15515, 4059, 11456, 96.0, 4.0, 4.2
"A-9_new 1.5.pdf.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 387868, 371410, 16458, 3950, 12508, 95.8, 4.2, 4.3
"A-9_new 1.5.pdf.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 366348, 358911, 7437, 1023, 6414, 98.0, 2.0, 4.1
"A-9_new 1.5.pdf.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 366348, 358516, 7832, 1020, 6812, 97.9, 2.1, 4.1
"A-9_new 1.5.pdf.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 482868, 442727, 40141, 33371, 6770, 91.7, 8.3, 4.8
"A-9_new 1.5.pdf.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 482868, 441096, 41772, 29859, 11913, 91.3, 8.7, 4.8
"A-9_new 1.5.pdf.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 387868, 374681, 13187, 10005, 3182, 96.6, 3.4, 4.2
"A-9_new 1.5.pdf.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 387868, 374024, 13844, 8900, 4944, 96.4, 3.6, 4.2
"A-9_new 1.5.pdf.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 366348, 360995, 5353, 3184, 2169, 98.5, 1.5, 4.1
"A-9_new 1.5.pdf.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 366348, 360647, 5701, 2881, 2820, 98.4, 1.6, 4.1
"A-9_new 1.5.pdf.trc", 1024, 4, RR, 2, 262144, 13, 17, 131072, 458752, 1507328, 482868, 443402, 39466, 38889, 577, 91.8, 8.2, 4.8
"A-9_new 1.5.pdf.trc", 1024, 4, RND, 2, 262144, 13, 17, 131072, 458752, 1507328, 482868, 442740, 40128, 37094, 3034, 91.7, 8.3, 4.8
"A-9_new 1.5.pdf.trc", 1024, 16, RR, 2, 65536, 13, 15, 32768, 114688, 1163264, 387868, 375074, 12794, 12408, 386, 96.7, 3.3, 4.2
"A-9_new 1.5.pdf.trc", 1024, 16, RND, 2, 65536, 13, 15, 32768, 114688, 1163264, 387868, 374790, 13078, 11641, 1437, 96.6, 3.4, 4.2
"A-9_new 1.5.pdf.trc", 1024, 64, RR, 2, 16384, 13, 13, 8192, 28672, 1077248, 366348, 361375, 4973, 4604, 369, 98.6, 1.4, 4.1
"A-9_new 1.5.pdf.trc", 1024, 64, RND, 2, 16384, 13, 13, 8192, 28672, 1077248, 366348, 361204, 5144, 4260, 884, 98.6, 1.4, 4.1
